,s,summary,res
131,唐僧聞言，戰戰兢兢，未曾答應，沙僧掣寶杖，八戒舉釘鈀，大聖使鐵棒，一齊上前，把大仙圍住在空中，亂打亂築。,八戒亂打鎮元大仙,"三藏打亂打唐僧、 孫悟淨、玉帝、敬德丞相、徐茂功、護國八戒
"
132,太宗悚懼道：「朕如何去得？」,唐王 悚懼道崔玨,"唐王懼道玄奘、菩薩、蕭瑀、張道源財童子、佈霧郎君
"
133,龍王欣喜道：「既如此，不敢久留，請大聖早發慈悲，莫要疏久了你師父。」,龍王欣喜道孫悟空,"龍王欣喜道孫悟空、三藏、八戒、沙僧、馬、鱖少卿、鯉太宰
"
134,他遂綽了鋼刀，高叫道：「那豬八戒，你過來。我不是怕你，不與你戰；看著我渾家的分上，饒了你師父也。趁早去後門首，尋著他，往西方去罷。若再來犯我境界，斷乎不饒！」,老妖高叫道八戒,"行者高叫道八戒、沙僧、鱖婆、雷公、電母、鯉太子、長老君
"
135,國王見了道：「豬長老又會騰雲！」,國王道八戒,"國王道八戒、沙僧、三藏、行者、樵子、長老、酧天君、鯉天府仙吏
"
136,不多時，見行者牽將馬來，拴在槐樹上，徑往後走。,行者拴馬,"行者拴猛虎、徒後走孫悟空、三藏、八戒、沙僧牽將馬
"
137,三藏慌忙答禮，上殿去參拜了聖像。,三藏答禮孫悟空,"三藏拜聖像答禮，上殿去磕頂守山大神、木叉行者、善財童子、捧珠龍女
"
138,沙僧近前跪下道：「哥啊，古人云：『不看僧面看佛面。』兄長既是到此，萬望救他一救。若是我們能救，也不敢許遠的來奉請你也。」,沙僧跪下道行者,"沙僧跪下道行者、八戒、悟淨、毫毛諸天與守山大神、無邊天府仙吏
"
139,老妖道：「不要出去，把前門關了。他兩個化齋來，一定尋師父喫；尋不著，一定尋著我門上。常言道：『上門的買賣好做。』且等慢慢的捉他。」,妖魔道小妖,"老妖道小妖、八戒、沙僧、鱖少年、黑魚精細鬼、雷公、電母
"
140,小妖道：「我們去捉他來。」,小妖道妖魔,"小妖道黑漢精細鬼、伶俐蟲、齊天府仙吏、雷公、電揭諦神道行者
"
141,那黃門奏事官來至白玉階前，奏道：「萬歲，有三駙馬來見駕，現在朝門外聽宣。」,閣門大使奏道國王,"黃門奏道小妖白白金頂大仙、木叉行者、善財童子、捧珠龍女
"
142,對君臣僧俗人說道：「這些和尚，實是老孫放了。車輛是老孫運轉雙關，穿夾脊，捽碎了。那兩個妖道也是老孫打死了。今日滅了妖邪，方知是禪門有道。向後來，再不可胡為亂信。望你把三教歸一：也敬僧，也敬道，也養育人才。我保你江山永固。」,行者說道國王、文武官、和尚,"臣僧說道孫悟空、三藏、八戒、沙和尚、源、齊天府仙吏
"
143,長老抬頭看時，原來是個小孩童，赤條條的，吊在樹上。,三藏看妖精,"三藏抬頭看時小孩童、赤條梜猛虎、倚海龍、 八戒、沙僧
"
144,沙僧道：「哥啊，知道是甚緣故，我們且去來。」,沙僧道八戒,"沙僧道行者、八戒、悟淨、揭諦神眾、幸童子、雷公、電母、佈霧郎
"
145,木叉道：「吾乃李天王第二太子木叉，今在觀音菩薩寶座前為徒弟護救，法名惠岸是也。」,行者道孫悟空,"木叉道行者、八戒、沙僧、三藏、馬、魏徵丞相、鹿力大仙、長老
"
146,行者道：「你解了我師父，我還你一棵活樹如何？」,行者道鎮元大仙,"行者道三藏、八戒、沙僧、馬、鱖婆、酧天師、雷公、電母、長老
"
147,行者道：「與他些罷。」,行者道行者,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉財童子、道土地
"
148,祖師云：「顯密圓通真妙訣，惜修性命無他說。都來總是精氣神，謹固牢藏休漏泄。休漏泄，體中藏，汝受吾傳道自昌。口訣記來多有益，屏除邪欲得清涼。得清涼，光皎潔，好向丹臺賞明月。月藏玉兔日藏烏，自有龜蛇相盤結。相盤結，性命堅，卻能火裏種金蓮。攢簇五行顛倒用，功完隨作佛和仙。」,菩提祖師云孫悟空,"菩提祖師云孫悟空、美猴王、翊蕭瑀、張道神道士、道行者
"
149,行者應諾了。,行者應諾三藏,"行者應諾八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太子、 道和尚
"
150,那八戒就趁腳兒蹻道：「你這個童兒，年幼不知事體，就來亂罵，白口咀咒，枉賴了我們也！不當人子！」,八戒腳兒蹻道清風,"八戒蹻道三藏、行者、沙僧、馬、鱖少年、酧天君、鯉太子、鍧珠龍女
"
151,菩薩道：「你先過去。」,菩薩道行者,"菩薩道行者、八戒、沙僧、馬、鬼、魅、張道士、齊天府仙吏、長老
"
152,老君道：「葫蘆是我盛丹的，淨瓶是我盛水的，寶劍是我煉魔的，扇子是我搧火的，繩子是我一根勒袍的帶。那兩個怪：一個是我看金爐的童子，一個是我看銀爐的童子。只因他偷了我的寶貝，走下界來，正無覓處，卻是你今拿住，得了功績。」,太上老君道行者,"太上老君道行者、八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太尉
"
153,老妖道：「不消吩咐，自有道理。」,老妖道公主,"老妖道公主、尉遲母、笑星、翊聖真君、 八戒、沙僧、馬、長老
"
154,八戒笑道：「他們是奉了唐王的旨意，不敢有違君命，不肯幹這件事。剛纔都在前廳上栽我，我又有些奈上祝下的，只恐娘嫌我嘴長耳大。」,八戒道婦人,"八戒笑道行者、沙僧、三藏、馬、酧天君、長老、鯉天府仙吏、佈霧郎
"
155,菩薩曰：「豈有不到之理？你可將骷髏兒掛在頭項下，等候取經人，自有用處。」,菩薩曰妖怪,"菩薩曰龍王靈官、蕭瑀、張道源頭項下、骷老禮道孫悟空
"
156,行者道：「這是甚麼景致？」,孫悟空道龍王,"行者道八戒、沙僧、三藏、馬、鹿力大仙、铨、長老、鿊聖真君
"
157,卻說玄奘回寺，見法明長老，把前項說了一遍。,玄奘说長老,"玄奘見法明、把前項說秦廣王、八戒、沙僧、敭瓊、馬、長老
"
158,唐僧正要念咒，行者急到馬前，叫道：「師父，莫念！莫念！你且來看看他的模樣。」,行者叫道三藏,"行者叫道三藏、八戒、沙僧、馬、長老、鹿力大仙、鯉头道士、醧天君、 八大神
"
159,眾小妖答應一聲，把三人一齊綑了，抬在後邊。,小妖綑三藏、八戒、沙僧,"小妖答應細鬼、��神、伶俐蟲、鱖婆抬三藏、行者、 八戒、沙僧
"
160,那怪一聞此言，丟了釘鈀，唱個大喏道：「那取經人在那裏？累煩你引見，引見。」,怪道行者,"怪物唱個大喏道大小眷族、木叉行者、崔玨、善財童子、捧珠龍女
"
161,八戒道：「罷了！來到盡頭路了！」,八戒道三藏、行者、沙僧,"八戒道三藏、行者、沙僧、馬、長老、鯉財童子、佈霧仙吏道摩昂
"
162,老者道：「是那位長老害眼？」,老者道行者,"老者道三藏、行者、八戒、沙僧、長老、酧天君、雷公、電母、雲童子、高才
"
163,眾道：「末等。這樣官兒，最低最小，只可與他看馬。似堂尊到任之後，這等慇懃，餵得馬肥，只落得道聲『好』字；如稍有些尫羸，還要見責；再十分傷損，還要罰贖問罪。」,眾監官道孫悟空,"眾監官道孫悟空、三藏、四大天師道天王、木叉行者、善財童子、捧珠龍女
"
164,道：「果然不是好風！這風的味道不是虎風，定是怪風。斷乎有些蹊蹺。」,行者道八戒,"孫悟空道三藏、行者、八戒、沙僧、馬、陀角、風、鱖少卿、鯉太宰
"
165,悟空卻纔躬身答應道：「老孫便是。」,孫悟空答應道玉皇大帝,"孫悟空答應道東海龍王、蝦臣、蟹士、長老君、鱖婆道磕頂大仙
"
166,菩薩正然點看，只見那河中，潑剌一聲響喨，水波裏跳出一個妖魔來，十分醜惡。,菩薩見妖怪,"菩薩跳出紅孩兒、八戒、河神、馬、流、奔、巴、鼉龍分醜惡行者
"
167,八戒道：「這是一眼井。你在寺裏，早說是井中有寶貝，我卻帶將兩條綑包袱的繩來，怎麼作個法兒，把老豬放下去；如今空手，這裏面東西，怎麼得下去上來耶？」,八戒道行者,"八戒道三藏、行者、沙僧、馬、長老、鯉財童子、佈霧仙吏、配力大仙
"
168,三藏喜道：「出家人若有桃子喫，就為上分了！」,三藏喜道行者,"三藏喜道孫悟空、八戒、沙僧、馬、長老、鯉太宰、酧天君
"
169,鹿力大仙道：「卻像人喫的勾當，有皮的都剝了皮，有核的都吐出核，卻怎麼不見人形？」,鹿力大仙道虎力大仙,"鹿力大仙道小道士、徒弟，奎星、巴山大神、木叉行者、善財童子、捧珠龍女
"
170,沙僧道：「師父，難行！」,沙僧道三藏,"沙僧道三藏、行者、八戒、清風、明月、星地與五方揭諸神、馬、長老
"
171,大聖吩咐：「小的們，都出去把那山上燒酥了的碎石頭與我搬將起來堆著。——或二三十個一堆，或五六十個一堆，堆著。我有用處。」,行者吩咐群猴,"孫悟空吩咐四健將軍、徒弟，無邊天府頭與我行者、馬、鯉龍
"
172,行者道：「那猴子有些無禮。我認得他。我也有些惱他。我與你同拿他去，就當與你助功。」,行者道精細鬼,"行者道三藏、八戒、沙僧、馬、鹿力大仙、長老、徒弟君、鯉太宰
"
173,行者道：「兵器我自有。」,行者道太公,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太上老君、 道婦人
"
174,那道人道：「拜已畢了，還撞鐘怎麼？」,道人道孫悟空,"道人道三藏、行者、 八戒、沙僧、馬、長老、酧郎、鄧天君、雷公、電母
"
175,如來卻將寶盆中花果品物，著阿儺捧定，著迦葉佈散。,如來佛祖著阿儺,"如來佛祖散孫悟空、秦瓊著迦葉佈散三藏、行者、八戒、沙僧
"
176,行者笑道：「不瞞老施主說。我纔然離了師父，還不尚一盞熱茶之時，卻就走到此處。如今化了齋，還要趕去作午齋哩。」,行者笑道老者,"行者笑道三藏、八戒、沙僧、馬、齊天府仙吏、酧天師、雷公、電母
"
177,那沙僧聞言道：「哥哥，真個是龍麼？」,沙僧道行者,"沙僧聞言道行者、八戒、悟淨、源諸天與守山大神、無邊菩薩
"
178,悟空又問：「流字門中，是甚義理？」,孫悟空問菩提祖師,"孫悟空問東海龍王、龍婆諸天與守山大神、木叉行者、善財童子、捧珠龍女
"
179,只得洋叫一聲：「開門！開門！」,行者叫女怪,"行者洋猛虎、徒老叫、八戒、沙僧、鱖少卿、長老、鯉老君
"
180,止剩一個老妖，趕出門來罵道：「你這潑猴，其實憊懶！怎麼上門子欺負人家！」,老妖罵道行者,"太上老君罵道行者、八戒、沙僧、馬、黑魚精細鬼、伶俐蟲
"
181,那八戒食腸大，口又大，一則是聽見童子喫時，便覺饞蟲拱動，卻纔見了果子，拿過來，張開口，轂轆的囫圇吞嚥下肚，卻白著眼胡賴，向行者、沙僧道：「你兩個喫的是甚麼？」,八戒道行者、沙僧,"八戒覺饞蟲拱動、纔見果子、拿過、張開口，轂轆的囫圇吞嚇
"
182,洞主道：「且莫喫他哩。」,洞主道猛虎,"洞主道行者、沙僧、八戒、漢翊鬼、鱖少卿、摩星、鯉太宰
"
183,行者道：「我弟子雲遊於海角，浪蕩在天涯。今朝來此處，欲募善人家。動問二位道長，這城中那條街上好道？那個巷裏好賢？我貧道好去化些齋喫。」,行者道道士,"行者道三藏、八戒、沙僧、馬、長老、酧天君、鯉太子、鍧天府仙吏
"
184,行者得旨，急抽身到壇所，扯著唐僧道：「師父請上臺。」,行者扯道三藏,"行者扯道三藏、八戒、沙僧、馬、鹿力大仙、齊天府仙吏、長老君
"
185,行者道：「師父，我知道你了。你見他那等容貌，必然動了凡心。若果有此意，叫八戒伐幾棵樹來，沙僧尋些草來，我做木匠，就在這裏搭個窩鋪，你與他圓房成事，我們大家散了，卻不是件事業？何必又跋涉，取甚經去！」,行者道 唐僧,"行者道三藏、八戒、沙僧、馬、長老、鯉財童子、佈霧郎君、齊天府仙吏
"
186,行者道：「師父若坐二三年，我們就不取經罷；多也不上二三個時辰，就下來了。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母、鍧珠龍女
"
187,茶畢，清風道：「兄弟，不可違了師命，我和你去取果子來。」,清風道明月,"清風道三藏、行者、 八戒、沙僧、馬、鱖婆、鬼、魅、流、奔、巴
"
188,三藏回頭，叫聲「徒弟，這裏來。」,三藏叫行者、八戒、沙僧,"三藏叫行者、八戒、沙僧、馬、長老、鯉太子、頭、酧天君、雷公、電母
"
189,三藏道：「縱有錢沒處買，常言道：『仁義值千金。』教他陪你個禮，便罷了。——也還不知是他不是他哩。」,三藏道明月,"三藏道行者、八戒、沙僧、馬、長老、鯉太子、酧天君、雷公、電母
"
190,那老和尚，也是他一時賣弄，便叫道人開庫房，頭陀抬櫃子，就抬出十二櫃，放在天井中，開了鎖，兩邊設下衣架，四圍牽了繩子，將袈裟一件件抖開掛起，請三藏觀看。,寺院主請三藏,"老僧叫道人開庫房，頭陀抬櫃子、兩邊設下衣架孫悟空
"
191,三藏道：「那太子想必被妖魔貶了？」,三藏道皇帝,"三藏道行者、八戒、悟淨、沙僧、馬、鱖少卿、鯉太宰、長老君
"
192,那和尚便問：「老爺，你有多少年紀了？」,老僧问孫悟空,"和尚便問老者、 八戒、沙僧、馬、鱖婆、長老君、鯉太宰
"
193,木叉用手指著：「那東岸上坐的不是？」,惠岸道悟淨,"行者指著東海龍王、龍孫諸神、菩薩、鱖少年、鯉太子、齊天府仙吏
"
194,三藏道：「他有些甚麼勾當？」,三藏道八戒,"三藏道行者、八戒、悟淨、沙僧、馬、鱖少卿、陀、雷公、電母
"
195,妖王道：「勿慮；他就是鐵膽銅心，也不敢近我門來也。」,妖王道行者,"妖王道行者、八戒、沙僧、鱖婆、黑魚精、齊天府仙吏道小妖
"
196,行者道：「老兒，莫說哈話。我們出家人，不走回頭路。」,行者道老者,"行者道三藏、八戒、沙僧、馬、鹿力大仙、铊天府仙吏、長老君
"
197,正當打坐參禪，忽聞得小兒啼哭之聲，一時心動，急到江邊觀看。,長老聞小兒,"小兒啼哭之聲觀看行者、八戒、沙僧打坐參禪、鹿力大仙
"
198,三藏道：「既如此，就依你說，與你三日之限。三日裏來便罷；若三日之外不來，我就念那話兒經了。」,三藏道行者,"三藏道行者、八戒、沙僧、馬、陀角、長老、鯉太子、酧天君、雷公、電母
"
